name,size,type,address
do_fat_read_at_block,65536,OBJECT,0a02a800
get_dentfromdir_block,65536,OBJECT,0a03a800
get_contents_vfatname_blo,65536,OBJECT,0a04a800
hist_lines,5140,OBJECT,0a0288d8
inflate,4886,FUNC,0a01a914
mmc_startup,3114,FUNC,0a00f040
do_fat_read_at,3088,FUNC,0a018bac
cli_readline_into_buffer,2330,FUNC,0a00aa3c
composite_setup,2052,FUNC,0a015598
lenfix,2048,OBJECT,0a02054c
do_bootm_states,2012,FUNC,0a006b00
dwc3_uboot_init,1920,FUNC,0a011868
run_list_real,1826,FUNC,0a005570
do_load_serial_bin,1780,FUNC,0a00179c
dwc3_ep0_interrupt,1642,FUNC,0a014690
parse_stream_outer,1584,FUNC,0a005c94
sdhci_send_command,1316,FUNC,0a01060c
dwc3_gadget_uboot_handle_,1266,FUNC,0a013ab0
do_mmc_hwpartition,1244,FUNC,0a002a40
malloc,1234,FUNC,0a008c10
vsnprintf_internal,1130,FUNC,0a01ebc8
cmd_auto_complete,1090,FUNC,0a00b650
xyz,1076,OBJECT,0a02a03c
av_,1032,OBJECT,0a027440
inflate_fast,1030,FUNC,0a019d54
crc_table,1024,OBJECT,0a021128
inflate_table,1024,FUNC,0a01a15c
do_mmcinfo,1002,FUNC,0a003138
himport_r,984,FUNC,0a01d01c
realloc,976,FUNC,0a009194
hsearch_r,948,FUNC,0a01c884
blk_get_device_part_str,924,FUNC,0a00c7b0
_input_send_keycodes,912,FUNC,0a00e044
mmc_hwpart_config,854,FUNC,0a00ec84
hexport_r,834,FUNC,0a01ccd8
dwc3_prepare_trbs,722,FUNC,0a012454
insert_var_value_sub,682,FUNC,0a005160
done_word,668,FUNC,0a0048cc
do_test,656,FUNC,0a00371c
__dwc3_gadget_ep_enable.c,656,FUNC,0a0131cc
serial_initialize,636,FUNC,0a011148
number,624,FUNC,0a01e958
dfu_read,618,FUNC,0a00d8d0
mmc_start_init,600,FUNC,0a00fd68
part_get_info_extended.co,590,FUNC,0a00ceb0
bootm_help_text,581,OBJECT,0a026cd4
adler32,574,FUNC,0a01a6d4
print_partition_extended,560,FUNC,0a00cbd8
deepeye1000_nnp_frequency,552,FUNC,0a000d7c
do_load,550,FUNC,0a017eac
xyzModem_stream_read,546,FUNC,0a00c04c
boot_get_ramdisk,530,FUNC,0a009d4c
xyzModem_stream_open,524,FUNC,0a00be40
tmp_buf.3742,512,OBJECT,0a029d3c
crc16_tab,512,OBJECT,0a020f1c
file_cwd,512,OBJECT,0a027cb4
file_get,492,FUNC,0a004ca8
xyzModem_get_hdr,490,FUNC,0a00bc54
free,488,FUNC,0a008a28
dfu_bind,482,FUNC,0a016588
env_flags_validate,478,FUNC,0a007c00
sdhci_set_ios,464,FUNC,0a0103f4
dfu_config_entities,446,FUNC,0a00dba8
add_sdhci,442,FUNC,0a010b30
dwc3_endpoint_transfer_co,440,FUNC,0a012e0c
image_print_contents,424,FUNC,0a009a3c
cmd_mmc,420,OBJECT,0a026f20
set_local_var,412,FUNC,0a004fc4
print_buffer,408,FUNC,0a01d68c
put_dec,400,FUNC,0a01e7c8
cli_simple_process_macros,400,FUNC,0a00a408
_do_help,394,FUNC,0a00b46c
file_cd,388,FUNC,0a019a80
_do_env_set.isra.0,386,FUNC,0a003d28
sdhci_init,382,FUNC,0a010274
dfu_write,382,FUNC,0a00d750
mmc_berase,380,FUNC,0a010cec
cb_getvar,378,FUNC,0a017544
lmb_add_region,378,FUNC,0a01bf04
mmc_bwrite,368,FUNC,0a010e68
do_save,368,FUNC,0a018154
dev_print,362,FUNC,0a00c3b0
get_vfatname,352,FUNC,0a0188fc
uimage_type,348,OBJECT,0a01fc18
dwc3_gadget_init_hw_endpo,348,FUNC,0a012140
__dwc3_gadget_kick_transf,346,FUNC,0a012b0c
dwc3_gadget_init,342,FUNC,0a0138d4
jumptable_init,342,FUNC,0a004354
ep_matches.part.0,340,FUNC,0a014d14
rx_handler_dl_image,340,FUNC,0a017398
env_help_text,330,OBJECT,0a027158
get_cluster,330,FUNC,0a01853c
mod_mem.isra.0,328,FUNC,0a0022cc
__dwc3_ep0_do_control_dat,328,FUNC,0a014104
dwc3_gadget_ep_queue,326,FUNC,0a012cc4
dwc3_ep0_start_trans,322,FUNC,0a013fc0
mmc_bread,318,FUNC,0a00eb44
handle_getstatus,316,FUNC,0a016794
uimage_arch,312,OBJECT,0a01fae0
fastboot_set_alt,312,FUNC,0a016ecc
fastboot_bind,308,FUNC,0a0176d8
usb_gadget_get_string,308,FUNC,0a01502c
memalign,308,FUNC,0a009564
env_attr_lookup,308,FUNC,0a0076a0
images,304,OBJECT,0a02a59c
dwc3_gadget_reset_interru,304,FUNC,0a01309c
dwc3_ep0_handle_feature,298,FUNC,0a01424c
composite_bind,294,FUNC,0a0153d8
dwc3_gadget_start,290,FUNC,0a0136e0
print_size,290,FUNC,0a01d568
deepeye1000_fp_frequency_,284,FUNC,0a000c60
list_sort,284,FUNC,0a01c510
g_dnl_bind,280,FUNC,0a01611c
env_attr_walk,278,FUNC,0a007588
rx_handler_command,274,FUNC,0a017158
deepeye1000_ck810_frequen,270,FUNC,0a0010a0
bootm_decomp_image,268,FUNC,0a0069e4
cli_simple_run_command,266,FUNC,0a00a598
do_showvar,264,FUNC,0a004b68
blk_get_device_by_str,260,FUNC,0a00c6ac
the_command.3985,257,OBJECT,0a0285e4
lastcommand.3781,257,OBJECT,0a0287c4
console_buffer,257,OBJECT,0a02a6cc
ckirq_handlers,256,OBJECT,0a028360
map,256,OBJECT,0a0284d8
tmp_buf,256,OBJECT,0a029f3c
_ctype,256,OBJECT,0a021528
crc7_syndrome_table,256,OBJECT,0a020e1c
op_adv,256,OBJECT,0a01f82c
gunzip,256,FUNC,0a01bdb0
boot_ramdisk_high,256,FUNC,0a009f60
do_bootm_netbsd,254,FUNC,0a00741c
print_freq,254,FUNC,0a01d468
deepeye1000_acc_frequency,252,FUNC,0a000fa4
do_mmc_read,250,FUNC,0a00277c
composite_unbind,246,FUNC,0a0152e0
do_mem_cmp,244,FUNC,0a0020c8
__dwc3_gadget_ep0_queue,244,FUNC,0a0143f0
get_fatent,240,FUNC,0a01840c
fat_set_blk_dev,240,FUNC,0a018a5c
parse_string_outer,234,FUNC,0a005484
do_setexpr,232,FUNC,0a003610
mmc_create,232,FUNC,0a00fc6c
__lmb_alloc_base,230,FUNC,0a01c18c
do_mmc_dev,226,FUNC,0a002698
read_bootsectandvi,226,FUNC,0a01874c
cmd_bootm_sub,224,OBJECT,0a026bf4
autoboot_command,224,FUNC,0a006384
cmd_process,224,FUNC,0a00bad4
file_fat_detectfs,224,FUNC,0a0197f4
confirm_yesno,224,FUNC,0a00858c
usb_gadget_probe_driver,222,FUNC,0a017a40
dwc3_gadget_giveback,222,FUNC,0a012960
usb_ep_autoconfig,220,FUNC,0a014e68
__div64_32,218,FUNC,0a01d950
env_callback_init,218,FUNC,0a0078c8
__dwc3_gadget_ep_set_halt,218,FUNC,0a01352c
mmc_init,218,FUNC,0a00ffc0
memchr_inv,218,FUNC,0a01e4f8
usb_add_function,216,FUNC,0a015d9c
main_loop,212,FUNC,0a00421c
dwc3_gadget_ep_enable,208,FUNC,0a01345c
part_print,208,FUNC,0a00c598
inflateInit2_,208,FUNC,0a01a5ac
slot2str,204,FUNC,0a018830
set_default_env,204,FUNC,0a007ef8
do_mmc_write,198,FUNC,0a003070
do_env_print,198,FUNC,0a003bf0
cb_download,198,FUNC,0a0172d0
dfu_show_entities,198,FUNC,0a00de14
lmb_free,198,FUNC,0a01c0b0
do_mem_md,196,FUNC,0a002004
state_dfu_idle,196,FUNC,0a016c1c
get_name,196,FUNC,0a018688
get_ram_size,196,FUNC,0a00a0d8
do_fastboot,194,FUNC,0a0039ac
zunzip,194,FUNC,0a01bcec
dwc3_gadget_pullup,192,FUNC,0a012394
dwc3_gadget_resize_tx_fif,192,FUNC,0a0128a0
do_mmc_bootbus,190,FUNC,0a002980
simple_strtoull,190,FUNC,0a01f498
dwc3_ep0_set_sel_cmpl,188,FUNC,0a0144e4
dfu_write_from_mem_addr,188,FUNC,0a00df88
do_mmc_erase,186,FUNC,0a002fb4
do_bootm,184,FUNC,0a001228
crc32_no_comp,182,FUNC,0a01d830
on_console,180,FUNC,0a0086f4
on_baudrate,180,FUNC,0a011410
xyzModem_stream_terminate,180,FUNC,0a00c2b0
do_mem_cp,178,FUNC,0a002218
console_init_r,178,FUNC,0a00883c
cread_add_char,176,FUNC,0a00a98c
calloc,176,FUNC,0a0090e4
state_dfu_dnload_idle,174,FUNC,0a016978
do_mmc_bootmode,172,FUNC,0a002504
do_echo,170,FUNC,0a001420
load_serial_ymodem,170,FUNC,0a001620
free_pipe_list,170,FUNC,0a0046f4
delete_char.part.0,168,FUNC,0a00a8e4
cli_simple_loop,168,FUNC,0a00a6a4
stdio_add_devices,168,FUNC,0a00a2c8
rc4_encode,166,FUNC,0a01c41c
__dwc3_gadget_ep_disable,164,FUNC,0a013608
membuff_extend_by,164,FUNC,0a01def4
usb_add_config,164,FUNC,0a015f14
env_import,162,FUNC,0a007fec
membuff_readline,162,FUNC,0a01de50
do_mem_mw,160,FUNC,0a001ec4
do_mem_loop,160,FUNC,0a001f64
mmc_set_capacity,160,FUNC,0a00e788
dfu_handle,160,FUNC,0a0163d4
env_complete,160,FUNC,0a008164
hdelete_r,160,FUNC,0a01cc38
malloc_trim,160,FUNC,0a008988
dwc3_gadget_set_link_stat,160,FUNC,0a012764
mmc_send_status,158,FUNC,0a00e974
dwc3_gadget_wakeup,156,FUNC,0a012804
fastboot_disable,156,FUNC,0a016e30
dfu_add,154,FUNC,0a016338
do_mmc_boot_resize,152,FUNC,0a0028e8
file_fat_read_at,152,FUNC,0a01995c
env_flags_init,152,FUNC,0a007b68
getenv_f,150,FUNC,0a003fec
env_print,146,FUNC,0a003b5c
blk_read_devnum,146,FUNC,0a00d45c
qsort,144,FUNC,0a01c374
print_mmc_devices,144,FUNC,0a00e6b0
print_grouped_ull,144,FUNC,0a01f194
mmc_boot_partition_size_c,144,FUNC,0a010170
simple_strtoul,144,FUNC,0a01f31c
membuff_putraw,142,FUNC,0a01db50
deepeye1000_axi_frequency,142,FUNC,0a000bd0
cmd_env_sub,140,OBJECT,0a0270cc
init_sequence_f,140,OBJECT,0a027344
kbd_entry,140,OBJECT,0a02786c
dwc3_uboot_exit,140,FUNC,0a011fe8
dwc3_gadget_ep_disable,138,FUNC,0a013804
dfu_write_buffer_drain,136,FUNC,0a00d580
default_environment,135,OBJECT,0a01f9c4
do_mmc_partconf,134,FUNC,0a002610
getenv,134,FUNC,0a004084
env_flags_parse_varaccess,134,FUNC,0a007ae0
reserved_list,132,OBJECT,0a0272c0
kbd_plain_xlate_german,132,OBJECT,0a01ff78
