name,size,type,address
get_dentfromdir_block,65536,OBJECT,0a03a800
get_contents_vfatname_blo,65536,OBJECT,0a04a800
do_fat_read_at_block,65536,OBJECT,0a02a800
hist_lines,5140,OBJECT,0a0288d8
lenfix,2048,OBJECT,0a02054c
xyz,1076,OBJECT,0a02a03c
av_,1032,OBJECT,0a027440
crc_table,1024,OBJECT,0a021128
bootm_help_text,581,OBJECT,0a026cd4
file_cwd,512,OBJECT,0a027cb4
crc16_tab,512,OBJECT,0a020f1c
tmp_buf.3742,512,OBJECT,0a029d3c
cmd_mmc,420,OBJECT,0a026f20
uimage_type,348,OBJECT,0a01fc18
env_help_text,330,OBJECT,0a027158
uimage_arch,312,OBJECT,0a01fae0
images,304,OBJECT,0a02a59c
lastcommand.3781,257,OBJECT,0a0287c4
console_buffer,257,OBJECT,0a02a6cc
the_command.3985,257,OBJECT,0a0285e4
op_adv,256,OBJECT,0a01f82c
_ctype,256,OBJECT,0a021528
tmp_buf,256,OBJECT,0a029f3c
ckirq_handlers,256,OBJECT,0a028360
map,256,OBJECT,0a0284d8
crc7_syndrome_table,256,OBJECT,0a020e1c
cmd_bootm_sub,224,OBJECT,0a026bf4
cmd_env_sub,140,OBJECT,0a0270cc
init_sequence_f,140,OBJECT,0a027344
kbd_entry,140,OBJECT,0a02786c
default_environment,135,OBJECT,0a01f9c4
reserved_list,132,OBJECT,0a0272c0
kbd_shift_xlate_german,132,OBJECT,0a027950
kbd_plain_xlate_german,132,OBJECT,0a01ff78
distfix,128,OBJECT,0a020d4c
exception_names,128,OBJECT,0a01f6e4
uimage_os,108,OBJECT,0a01fa74
kbd_plain_xlate,100,OBJECT,0a01fffc
kbd_shift_xlate,100,OBJECT,0a027a38
kbd_ctrl_xlate,100,OBJECT,0a0279d4
boot_os,96,OBJECT,0a01f944
kbd_right_alt_xlate_germa,88,OBJECT,0a0278f8
fstypes,88,OBJECT,0a027c5c
init_sequence_r,88,OBJECT,0a0273d0
dwc3_device_data,84,OBJECT,0a026ba0
uimage_comp,84,OBJECT,0a01fd74
cur_part_info,80,OBJECT,0a02a530
fs_partition,80,OBJECT,0a02a4d8
hist_list,80,OBJECT,0a029cec
devs,76,OBJECT,0a02876c
dext.4046,64,OBJECT,0a0204cc
dbase.4045,64,OBJECT,0a02050c
lbase.4043,62,OBJECT,0a02048e
lext.4044,62,OBJECT,0a020450
version_string,57,OBJECT,0a01f7bc
cmd_dispatch_info,56,OBJECT,0a02032c
eserial1_device,48,OBJECT,0a027aa4
dfu_state,44,OBJECT,0a0202e8
current_mallinfo,40,OBJECT,0a028738
z_errmsg,40,OBJECT,0a020df4
buf.4185,40,OBJECT,0a0286e5
dwc3_gadget_ep_ops,40,OBJECT,0a0201f0
dwc3_gadget_ep0_ops,40,OBJECT,0a0201c8
order.4139,38,OBJECT,0a020dcc
dwc3_gadget_ops,36,OBJECT,0a020218
composite_driver,36,OBJECT,0a027ae8
CSWTCH.28,32,OBJECT,0a01fe0c
g_dnl_driver,32,OBJECT,0a027b40
g_dnl_string_defs,32,OBJECT,0a027b0c
kbd_to_ansi364,32,OBJECT,0a01ff58
g_dnl_serial,32,OBJECT,0a02a4a0
_u_boot_list_2_cmd_2_fatl,28,OBJECT,0a028020
_u_boot_list_2_cmd_2_ques,28,OBJECT,0a028218
_u_boot_list_2_cmd_2_mmc,28,OBJECT,0a02818c
ext_to_hostcaps.5880,28,OBJECT,0a0200e8
_u_boot_list_2_cmd_2_fp_t,28,OBJECT,0a028074
_u_boot_list_2_cmd_2_md,28,OBJECT,0a028154
_u_boot_list_2_cmd_2_load,28,OBJECT,0a02811c
_u_boot_list_2_cmd_2_freq,28,OBJECT,0a028090
_u_boot_list_2_cmd_2_base,28,OBJECT,0a027ed0
_u_boot_list_2_cmd_2_fatl,28,OBJECT,0a02803c
_u_boot_list_2_cmd_2_mw,28,OBJECT,0a0281c4
_u_boot_list_2_cmd_2_help,28,OBJECT,0a0280c8
_u_boot_list_2_cmd_2_true,28,OBJECT,0a0282dc
_u_boot_list_2_cmd_2_boot,28,OBJECT,0a027f08
_u_boot_list_2_cmd_2_exit,28,OBJECT,0a027fb0
_u_boot_list_2_cmd_2_mm,28,OBJECT,0a028170
_u_boot_list_2_cmd_2_test,28,OBJECT,0a0282c0
_u_boot_list_2_cmd_2_loop,28,OBJECT,0a028138
_u_boot_list_2_cmd_2_fast,28,OBJECT,0a027fe8
_u_boot_list_2_cmd_2_env,28,OBJECT,0a027f94
