name,size,type,address
inflate,4886,FUNC,0a01a914
mmc_startup,3114,FUNC,0a00f040
do_fat_read_at,3088,FUNC,0a018bac
cli_readline_into_buffer,2330,FUNC,0a00aa3c
composite_setup,2052,FUNC,0a015598
do_bootm_states,2012,FUNC,0a006b00
dwc3_uboot_init,1920,FUNC,0a011868
run_list_real,1826,FUNC,0a005570
do_load_serial_bin,1780,FUNC,0a00179c
dwc3_ep0_interrupt,1642,FUNC,0a014690
parse_stream_outer,1584,FUNC,0a005c94
sdhci_send_command,1316,FUNC,0a01060c
dwc3_gadget_uboot_handle_,1266,FUNC,0a013ab0
do_mmc_hwpartition,1244,FUNC,0a002a40
malloc,1234,FUNC,0a008c10
vsnprintf_internal,1130,FUNC,0a01ebc8
cmd_auto_complete,1090,FUNC,0a00b650
inflate_fast,1030,FUNC,0a019d54
inflate_table,1024,FUNC,0a01a15c
do_mmcinfo,1002,FUNC,0a003138
himport_r,984,FUNC,0a01d01c
realloc,976,FUNC,0a009194
hsearch_r,948,FUNC,0a01c884
blk_get_device_part_str,924,FUNC,0a00c7b0
_input_send_keycodes,912,FUNC,0a00e044
mmc_hwpart_config,854,FUNC,0a00ec84
hexport_r,834,FUNC,0a01ccd8
dwc3_prepare_trbs,722,FUNC,0a012454
insert_var_value_sub,682,FUNC,0a005160
done_word,668,FUNC,0a0048cc
do_test,656,FUNC,0a00371c
__dwc3_gadget_ep_enable.c,656,FUNC,0a0131cc
serial_initialize,636,FUNC,0a011148
number,624,FUNC,0a01e958
dfu_read,618,FUNC,0a00d8d0
mmc_start_init,600,FUNC,0a00fd68
part_get_info_extended.co,590,FUNC,0a00ceb0
adler32,574,FUNC,0a01a6d4
print_partition_extended,560,FUNC,0a00cbd8
deepeye1000_nnp_frequency,552,FUNC,0a000d7c
do_load,550,FUNC,0a017eac
xyzModem_stream_read,546,FUNC,0a00c04c
boot_get_ramdisk,530,FUNC,0a009d4c
xyzModem_stream_open,524,FUNC,0a00be40
file_get,492,FUNC,0a004ca8
xyzModem_get_hdr,490,FUNC,0a00bc54
free,488,FUNC,0a008a28
dfu_bind,482,FUNC,0a016588
env_flags_validate,478,FUNC,0a007c00
sdhci_set_ios,464,FUNC,0a0103f4
dfu_config_entities,446,FUNC,0a00dba8
add_sdhci,442,FUNC,0a010b30
dwc3_endpoint_transfer_co,440,FUNC,0a012e0c
image_print_contents,424,FUNC,0a009a3c
set_local_var,412,FUNC,0a004fc4
print_buffer,408,FUNC,0a01d68c
put_dec,400,FUNC,0a01e7c8
cli_simple_process_macros,400,FUNC,0a00a408
_do_help,394,FUNC,0a00b46c
file_cd,388,FUNC,0a019a80
_do_env_set.isra.0,386,FUNC,0a003d28
dfu_write,382,FUNC,0a00d750
sdhci_init,382,FUNC,0a010274
mmc_berase,380,FUNC,0a010cec
cb_getvar,378,FUNC,0a017544
lmb_add_region,378,FUNC,0a01bf04
mmc_bwrite,368,FUNC,0a010e68
do_save,368,FUNC,0a018154
dev_print,362,FUNC,0a00c3b0
get_vfatname,352,FUNC,0a0188fc
dwc3_gadget_init_hw_endpo,348,FUNC,0a012140
