name,size,type,address
__log_buf,131072,OBJECT,81b21a40
option_ids,29328,OBJECT,819c30cc
hidinput_connect,26622,FUNC,8192b730
irq_desc,16896,OBJECT,81ae4cc0
__blockdev_direct_IO,16896,FUNC,8172afc8
page_address_maps,16384,OBJECT,81b48218
v4l2_dv_timings_presets,14784,OBJECT,819cd894
__video_register_device,10652,FUNC,818edbf0
uvc_probe,8528,FUNC,81911044
iter.35839,8328,OBJECT,81b43d94
ext_text.33249,8192,OBJECT,81b1f630
crc32table_le,8192,OBJECT,819afec0
crc32ctable_le,8192,OBJECT,819b1ec0
crc32table_be,8192,OBJECT,819b3ec0
init_thread_union,8192,OBJECT,81adc000
load_module,8076,FUNC,81660630
xhci_hub_control,6720,FUNC,818be01c
sha256_transform,6120,FUNC,8.1796E+022
sha512_transform,5990,FUNC,81798a38
dmatest_func,5946,FUNC,8180c270
usbdev_ioctl,5828,FUNC,8187ff34
dev_ethtool,5812,FUNC,81967238
