name,size,type,address
__log_buf,131072,OBJECT,81b21a40
option_ids,29328,OBJECT,819c30cc
irq_desc,16896,OBJECT,81ae4cc0
page_address_maps,16384,OBJECT,81b48218
v4l2_dv_timings_presets,14784,OBJECT,819cd894
iter.35839,8328,OBJECT,81b43d94
init_thread_union,8192,OBJECT,81adc000
crc32table_be,8192,OBJECT,819b3ec0
ext_text.33249,8192,OBJECT,81b1f630
crc32table_le,8192,OBJECT,819afec0
crc32ctable_le,8192,OBJECT,819b1ec0
hid_have_special_driver,4960,OBJECT,819d4654
timer_bases,4800,OBJECT,81ae9b60
hid_usage_table,4680,OBJECT,819d6ed8
s.34432,4120,OBJECT,81b42d18
crypto_fl_tab,4096,OBJECT,819aa3b8
in_lookup_hashtable,4096,OBJECT,81b4d484
crypto_it_tab,4096,OBJECT,819ac3b8
kernfs_pr_cont_buf,4096,OBJECT,81b4f9cc
