name,size,type,address
hidinput_connect,26622,FUNC,8192b730
__blockdev_direct_IO,16896,FUNC,8172afc8
__video_register_device,10652,FUNC,818edbf0
uvc_probe,8528,FUNC,81911044
load_module,8076,FUNC,81660630
xhci_hub_control,6720,FUNC,818be01c
sha256_transform,6120,FUNC,8.1796E+022
sha512_transform,5990,FUNC,81798a38
dmatest_func,5946,FUNC,8180c270
usbdev_ioctl,5828,FUNC,8187ff34
dev_ethtool,5812,FUNC,81967238
xhci_irq,5774,FUNC,818bc738
v4l2_ctrl_get_name,5682,FUNC,818f73d8
copy_process.isra.12.part,5652,FUNC,81605d9c
usb_get_configuration,5530,FUNC,81879904
composite_setup,5518,FUNC,818c6cb4
dwc3_probe,5090,FUNC,81885070
path_openat,4950,FUNC,816fbca4
zlib_inflate,4894,FUNC,817e59b8
load_elf_binary,4830,FUNC,81742028
__bpf_prog_run,4826,FUNC,816920cc
hid_pidff_init,4804,FUNC,81938f94
