Time(sec)	Current(A)
0	0.240734
0.0002964	0.241808
0.0005928	0.239446
0.0008892	0.244386
0.0011856	0.242667
0.001482	0.24009
0.0017784	0.237942
0.0020748	0.240949
0.0023712	0.239446
0.0026676	0.241593
0.002964	0.242023
0.0032604	0.239446
0.0035568	0.24052
0.0038532	0.241164
0.0041496	0.240949
0.004446	0.240949
0.0047424	0.238587
0.0050388	0.242238
0.0053352	0.241593
0.0056316	0.241164
0.005928	0.241593
0.0062244	0.240949
0.0065208	0.239875
0.0068172	0.24052
0.0071136	0.242453
0.00741	0.23966
0.0077064	0.241593
0.0080028	0.324498
0.0082992	0.251259
0.0085956	0.260494
0.008892	0.285408
0.0091884	0.277032
0.0094848	0.255125
0.0097812	0.258561
0.0100776	0.255339
0.010374	0.256628
0.0106704	0.257058
0.0109668	0.254265
0.0112632	0.25491
0.0115596	0.257702
0.011856	0.255125
0.0121524	0.258346
0.0124488	0.255984
0.0127452	0.252977
0.0130416	0.25448
0.013338	0.257702
0.0136344	0.25448
0.0139308	0.255125
0.0142272	0.254265
0.0145236	0.257487
0.01482	0.257917
0.0151164	0.258991
0.0154128	0.256843
0.0157092	0.256628
0.0160056	0.257487
0.016302	0.295718
0.0165984	0.287556
0.0168948	0.300013
0.0171912	0.258131
0.0174876	0.299154
0.017784	0.351131
0.0180804	0.327075
0.0183768	0.357574
0.0186732	0.344258
0.0189696	0.333089
0.019266	0.348983
0.0195624	0.282401
0.0198588	0.257917
0.0201552	0.256843
0.0204516	0.261568
0.020748	0.258776
0.0210444	0.257272
0.0213408	0.277462
0.0216372	0.259635
0.0219336	0.257917
0.02223	0.267796
0.0225264	0.273166
0.0228228	0.262857
0.0231192	0.256628
0.0234156	0.269944
0.023712	0.2882
0.0240084	0.32729
0.0243048	0.344473
0.0246012	0.329868
0.0248976	0.331801
0.025194	0.328579
0.0254904	0.331371
0.0257868	0.337814
0.0260832	0.328149
0.0263796	0.322995
0.026676	0.329008
0.0269724	0.32772
0.0272688	0.344473
0.0275652	0.336526
0.0278616	0.331801
0.028158	0.324928
0.0284544	0.326646
0.0287508	0.328149
0.0290472	0.327935
0.0293436	0.3565
0.02964	0.326646
0.0299364	0.327505
0.0302328	0.341036
0.0305292	0.340177
0.0308256	0.348339
0.031122	0.329438
0.0314184	0.329223
0.0317148	0.32729
0.0320112	0.327505
0.0323076	0.338029
0.032604	0.328579
0.0329004	0.32772
0.0331968	0.325787
0.0334932	0.329653
0.0337896	0.337814
0.034086	0.328579
0.0343824	0.335237
0.0346788	0.330941
0.0349752	0.327935
0.0352716	0.345332
0.035568	0.333948
0.0358644	0.329223
0.0361608	0.326002
0.0364572	0.325142
0.0367536	0.32772
0.03705	0.330727
0.0373464	0.34254
0.0376428	0.326431
0.0379392	0.328364
0.0382356	0.340177
0.038532	0.340607
0.0388284	0.34254
0.0391248	0.326861
0.0394212	0.331371
0.0397176	0.327505
0.040014	0.326861
0.0403104	0.338029
0.0406068	0.331371
0.0409032	0.328149
0.0411996	0.324069
0.041496	0.336526
0.0417924	0.341466
0.0420888	0.326861
0.0423852	0.340821
0.0426816	0.326646
0.042978	0.329438
0.0432744	0.344258
0.0435708	0.335452
0.0438672	0.329438
0.0441636	0.330727
0.04446	0.328364
0.0447564	0.326646
0.0450528	0.329008
0.0453492	0.333089
0.0456456	0.326002
0.045942	0.326861
0.0462384	0.338459
0.0465348	0.334378
0.0468312	0.342969
0.0471276	0.328579
0.047424	0.32772
0.0477204	0.325787
0.0480168	0.326646
0.0483132	0.339318
0.0486096	0.326861
0.048906	0.32772
0.0492024	0.330082
0.0494988	0.336311
0.0497952	0.343399
0.0500916	0.329868
0.050388	0.329653
0.0506844	0.327935
0.0509808	0.329008
0.0512772	0.342754
0.0515736	0.333734
0.05187	0.325572
0.0521664	0.32729
0.0524628	0.328794
0.0527592	0.32772
0.0530556	0.32729
0.053352	0.340607
0.0536484	0.329008
0.0539448	0.327935
0.0542412	0.341895
0.0545376	0.268441
0.054834	0.260709
0.0551304	0.257702
0.0554268	0.258561
0.0557232	0.257058
0.0560196	0.260064
0.056316	0.2693
0.0566124	0.258561
0.0569088	0.25942
0.0572052	0.258561
0.0575016	0.265863
0.057798	0.267367
0.0580944	0.258561
0.0583908	0.292496
0.0586872	0.295718
0.0589836	0.320203
0.05928	0.305168
0.0595764	0.254265
0.0598728	0.248896
0.0601692	0.242238
0.0604656	0.239446
0.060762	0.240734
0.0610584	0.240949
0.0613548	0.239875
0.0616512	0.24009
0.0619476	0.246963
0.062244	0.247392
0.0625404	0.23966
0.0628368	0.239231
0.0631332	0.242238
0.0634296	0.240734
0.063726	0.24052
0.0640224	0.240949
0.0643188	0.243526
0.0646152	0.242453
0.0649116	0.243741
0.065208	0.240949
0.0655044	0.240734
0.0658008	0.24052
0.0660972	0.238157
0.0663936	0.24009
0.06669	0.24009
0.0669864	0.239446
0.0672828	0.241164
0.0675792	0.24052
0.0678756	0.238587
0.068172	0.239446
0.0684684	0.242238
0.0687648	0.240949
0.0690612	0.240305
0.0693576	0.24009
0.069654	0.241164
0.0699504	0.242882
0.0702468	0.242238
0.0705432	0.240305
0.0708396	0.241808
0.071136	0.241164
0.0714324	0.241164
0.0717288	0.241164
0.0720252	0.243312
0.0723216	0.241379
